menu,category,description_title,description
스킨,스킨 케어 기프트,스킨과 감각을 위한 셀렉션,이솝 제품군에서 스킨 케어 제품은 개인용은 물론 사려 깊은 선물용으로 많은 사랑을 받고 있습니다.
스킨,클렌저,처음의 시작,각질 ∙ 불필요한 유분 그리고 기타 잔여물을 말끔히 씻어내어 피부를 깨끗하게 하는 것은 인텔리전트 스킨케어의 기초입니다.
스킨,각질 제거,마찰로 만드는 아름다움,효과적인 각질 관리는 지친 피부로부터 자유롭게 하여 부드럽고 생기 있으며 매끄러운 피부로 가꿔줍니다.
스킨,트리트먼트 & 마스크,데일리 스킨 케어의 보완,데일리 스킨 케어 루틴을 보완해 트리트먼트와 마스크를 정기적으로 사용하세요. 잔여물을 씻어내주고 영양과 수분을 보충해 피부를 부드럽고 유연하게 가꾸고 건강하게 지켜줍니다.
스킨,토너,핵심이 되는 준비과정,토닝은 깨끗한 피부를 탄생시키는 핵심적인 역할을 합니다. 오랫동안 남아있는 잔여물과 피지를 씻어내고 피부의 밸런스를 잡아주며 수분 공급을 위해 피부를 준비합니다.
스킨,하이드레이터,건강하고 부드럽고 탄력 있는 피부를 위하여,피부에 보습 ∙ 영양을 주고 진정을 돕는 하이드레이터는 피부를 건강하게 가꿔주고 우수한 상태로 유지 시켜줍니다.
스킨,립 & 아이,세심한 케어가 필요한 섬세한 피부,얇고 섬세한 입술과 눈 주위의 피부에는 집중적인 관리가 필요합니다. 세심한 수분 공급과 매일 비타민이 풍부한 영양 공급이 필요합니다.
스킨,쉐이빙,깔끔한 쉐이빙을 위한 필수품,이솝의 쉐이빙 제품은 자극 받은 피부를 진정 시키고 밸런스를 유지해줍니다. 또한 우수한 품질의 쉐이빙 도구는 뛰어난 쉐이빙 경험을 선사합니다.
스킨,선 케어 / SPF,햇빛에서 보내는 시간을 위한 지능적인 케어,UVB 층으로부터 매일 피부를 보호하는 것은 건강하고 유연한 피부를 유지하는 핵심입니다. 이솝의 SPF 제품들은 광범위한 스펙트럼으로부터 피부를 보호할 뿐만 아니라 수분을 공급하고 부드러운 피부를 위해 영양을 공급합니다.
스킨,키트,건강하고 윤기 나는 피부는 균형 잡힌 라이프스타일 ∙ 세심한 클렌징 그리고 적절한 수분 공급을 통한 산물입니다.,다양한 피부 타입에 적합한 효과적인 셀렉션
스킨,스킨케어 세트 추천,함께 어울리는 조합,함께 잘 어울리는 조합으로 구성되어 있어 간결하지만 탁월한 맞춤 케어를 제공합니다.
헤어,샴푸,건강한 두피는 건강한 모발을 유지합니다.,매일 사용하는 것보다는 필요한 순간에 도움을 줄 수 있는 샴푸 사용을 추천합니다.
헤어,컨디셔너,부드럽고 유연한 헤어,이솝의 컨디셔너는 무게감 없이 모발을 매끈하고 부드럽게 합니다. 보태니컬 성분과 하이드롤라이즈드식물성단백질을 사용하여 거친 모발 ∙ 곱슬거리 ∙ 염색 또는 펌을 한 모발의 다양한 문제를 도움을 줄 수 있습니다.
헤어,트리트먼트,풍부한 영양 공급,주기적인 헤어 트리트먼트는 건강하고 촉촉한 모발과 진정되고 영양이 공급된 두피를 유지하는 데 도움을 줍니다.
헤어,그루밍,잘 손질된 헤어 스타일,단정한 헤어 스타일링을 위한 명료하고 쉬운 이솝의 그루밍 포뮬레이션은 효과적인 성능을 자랑합니다.
바디 & 핸드,핸드 및 바디 케어 기프트,바디와 핸드를 위한 필수품,일상적인 의식에 기쁨을 선사하는 비누 ∙ 젤 클렌저 ∙ 밤 ∙ 오일 ∙ 스크럽 등 다양한 바디 제품은 향기롭고 효능이 뛰어난 기프트를 구성해 받는 분들에게 즐거움을 선사합니다.
바디 & 핸드,핸드,풍부한 수분과 영양 공급,매일 우리에게 안락함을 선사하는 손은 보살핌을 받을 자격이 충분합니다. 아로마 클렌저와 밤은 손에 수분과 영양을 공급하고 부드럽게 가꿔줍니다.
바디 & 핸드,바디,계절 내내 깨끗하고 부드러운 피부,보태니컬 원료가 풍부하게 함유된 바디 클렌저 ∙ 하이드레이터 그리고 부드러운 바디 트리트먼트 오일은 깨끗하고 부드러운 피부를 오랫동안 느낄 수 있도록 해줍니다.
바디 & 핸드,퍼스널 케어,감각적인 트리트먼트,어디서든 손쉽게 사용할 수 있는 퍼스널 케어 제품은 매일 사용하는 이솝의 스킨 ∙ 바디 케어와 잘 어울립니다.
바디 & 핸드,번들,운명적인 만남,핸드 ∙ 바디 ∙ 퍼스널 케어를 위한 일상적인 의식에 즐거움을 더할 수 있도록 서로 보완하는 제품의 결합
홈,홈 케어 기프트,따뜻한 가정을 위한 필수품,홈 케어를 위한 기프트는 소중한 공간을 차분한 아로마로 채워 외부 세계를 떠나 마음을 달래는 사적인 영역의 도착을 의미합니다.
홈,홈,잘 손질된 집을 위한 홈 케어,‘집은 우리의 정서적 심장부’라고 세계적으로 유명한 디자이너 일세 크로포드(Ilse Crawford)는 말했습니다. 이 명언에 어울리게 이솝은 실용성과 즐거움 모두를 만족시키는 다양한 아로마 제품들을 제공합니다.
홈,문학,추천 도서,우리 제품과 동일하게 세심한 주의를 기울인 뛰어난 문학 작품을 만나보세요.
키트 & 여행 제품,시즈널 기프트 키트,시즈널 기프트 키트,문학적 항해를 기리기 위해 올해 시즈널 기프트 키트는 사랑받는 스킨 ∙ 바디 ∙ 홈 제품을 잊혀졌던 이야기들과 함께 담아 선물받는 분들을 감각적 여정과 놀라운 공상의 세계로 안내합니다.
키트 & 여행 제품,페이스,건강하고 윤기나는 피부는 균형잡힌 라이프스타일 ∙ 세심한 클렌징 그리고 적절한 수분 공급을 통한 산물입니다.,어디서나 말끔함을 유지할 수 있는 남성을 위한 스마트한 셀렉션입니다.
키트 & 여행 제품,바디 & 핸드,활력을 불어넣는 케어,아로마 핸드 & 바디 케어로 이루어진 기분 좋은 컬렉션은 수분과 영양을 공급하고 피부와 오감의 생기를 북돋웁니다.
키트 & 여행 제품,여행,원만한 여정을 위한 탁월하게 간편한 키트,이솝의 작고 뛰어난 여행 제품 키트에는 여행에 필요한 모든 것이 포함되어 있어 긴 여행 ∙ 짧은 여행 ∙ 비행기 ∙ 기차 혹은 버스 등 어떤 종류의 여행도 원활한 여정이 됩니다.
키트 & 여행 제품,남성,빈틈없는 연출과 유지를 추구하는 남성을 위한 스마트한 셀렉션.,,
기프트 가이드,어버이날과 스승의 날,,
기프트 가이드,이솝에서 사랑받는 제품들,,
기프트 가이드,관대한 선물,,
기프트 가이드,기프트 번들,,
기프트 가이드,홈 케어 기프트,,
기프트 가이드,나를 위한 선물,,
기프트 가이드,트래블 기프트,,
기프트 가이드,시즈널 기프트 키트,,
기프트 가이드,작은 제스처,,